CompanyName,Location,CompaniesList,longitude,latitude
Ascendas Mahindra city IT park,Mahindra city,,80.2219511,12.9797769
Reliance Tech Park,Koyambedu,,80.1948363,13.0734496
Alpha city -SSPDL,Navalur,"IBM-Daksh, National Management School, Newt Global",80.2265664,12.8446181
Ramaniyam - Kamak towers,Ekkaduthangal,"Contus (company), GE Countrywide, Converteam",80.27847,13.08784
Arihant ,Tiruvanmiyur,,80.2515865,12.9889822
Ampa Infospace,Nelson Manickam Rd,,80.2210297,13.0731063
Ramaniyam Greeta,Perungudi,,80.24094,12.96095
Menakur Infrastructure (e-Platinum),Navalur,,80.2265664,12.8446181
Prestige Cybertowers,Sholinganallur,,80.2320634,12.8935356
Jayasree Financiers ,Sholinganallur,,80.2320634,12.8935356
R.Rajagopal Technopark,Okkiam Torappakkam,,80.27847,13.08784
Harindar Singh Infrastructure,Okkiam Torappakkam,,80.27847,13.08784
Tirupurasundhari IT Park,Pallikaranai,,80.2077692,12.9304748
Aravind IT park,Karappakkam,,80.27847,13.08784
Landmarvel IT park,Siruseri,,80.2031094,12.8350258
Maansarovar properties - Maan sarovar Heights,Semmenchery,,80.2280156,12.9008558
Resurgent Investments,Sholinganallur,,80.2320634,12.8935356
Ambattur Clothing Co (The Ambit),Ambattur,"CSS, iOpEx",80.16152,13.09818
Appaswamy/Chaitanya - e-gate,292 OM Road Sholinganallur,,80.27847,13.08784
KK agarwal co,Sholinganallur,,80.2320634,12.8935356
Krishnan Sivagami Trust,Keelkottaiyur village (Kelambakkam),,80.27847,13.08784
Arun Fabricators ,Navalur,,80.2265664,12.8446181
Yekediar Farms,Okkiam Torappakkam,,80.27847,13.08784
Matrix towers - (SSPDL),Perungudi,,80.24094,12.96095
Succons OKI Infotech Park,Navallur,,80.27847,13.08784
TECCI Park,"OMR,Karapakkam,Chennai-600083","Uninor, Vestas, Valeo, First source, Qmax, Pathfinder.",80.252,13.0697
